ticker,period,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
DIVIDEND,1Y,ATM,30,Hold to Expiry,6.57,7.48,-12.88,8,3,5,87.5,925.07,1,221.0,11044.17,11769.24
DIVIDEND,1Y,ATM,30,Roll @50% Profit,2.86,3.25,-10.61,11,11,0,81.8,2174.86,0,0.0,11044.17,11359.53
DIVIDEND,1Y,ATM,30,Roll @75% Profit,1.68,1.91,-10.38,9,9,0,77.8,1788.1,0,0.0,11044.17,11230.17
DIVIDEND,1Y,ATM,30,Roll @7d Before,9.53,10.89,-10.61,17,17,0,88.2,3280.34,0,0.0,11044.17,12096.77
DIVIDEND,1Y,ATM,45,Hold to Expiry,4.84,5.52,-12.62,5,2,3,80.0,834.96,1,221.0,11044.17,11579.12
DIVIDEND,1Y,ATM,45,Roll @50% Profit,4.44,5.06,-10.13,9,9,0,88.9,2119.75,0,0.0,11044.17,11535.01
DIVIDEND,1Y,ATM,45,Roll @75% Profit,4.68,5.33,-3.37,6,6,0,66.7,1391.54,0,0.0,11044.17,11561.46
DIVIDEND,1Y,ATM,45,Roll @7d Before,12.89,14.76,-8.06,13,13,0,92.3,2947.74,0,0.0,11044.17,12467.78
DIVIDEND,1Y,ATM,60,Hold to Expiry,4.17,4.75,-10.32,4,2,2,75.0,761.07,1,221.0,11044.17,11505.24
DIVIDEND,1Y,ATM,60,Roll @50% Profit,4.6,5.24,-5.31,7,7,0,71.4,1842.1,0,0.0,11044.17,11552.25
DIVIDEND,1Y,ATM,60,Roll @75% Profit,-2.46,-2.79,-11.92,5,5,0,80.0,1360.38,0,0.0,11044.17,10772.26
DIVIDEND,1Y,ATM,60,Roll @7d Before,10.92,12.49,-11.69,12,12,0,91.7,3305.32,0,0.0,11044.17,12250.69
DIVIDEND,1Y,3% OTM,30,Hold to Expiry,4.6,5.24,-11.99,8,4,4,87.5,608.3,1,216.0,11044.17,11552.47
DIVIDEND,1Y,3% OTM,30,Roll @50% Profit,-1.27,-1.44,-7.8,11,11,0,81.8,954.04,0,0.0,11044.17,10903.5
DIVIDEND,1Y,3% OTM,30,Roll @75% Profit,-2.54,-2.88,-7.89,9,9,0,77.8,821.16,0,0.0,11044.17,10763.96
DIVIDEND,1Y,3% OTM,30,Roll @7d Before,2.74,3.11,-7.8,17,17,0,88.2,1438.32,0,0.0,11044.17,11346.39
DIVIDEND,1Y,3% OTM,45,Hold to Expiry,4.78,5.44,-11.99,5,2,3,80.0,627.71,1,221.0,11044.17,11571.88
DIVIDEND,1Y,3% OTM,45,Roll @50% Profit,-0.34,-0.39,-8.73,9,9,0,88.9,1118.14,0,0.0,11044.17,11006.57
DIVIDEND,1Y,3% OTM,45,Roll @75% Profit,4.11,4.68,-0.42,6,6,0,66.7,750.36,0,0.0,11044.17,11497.93
DIVIDEND,1Y,3% OTM,45,Roll @7d Before,5.76,6.56,-6.52,13,13,0,92.3,1507.11,0,0.0,11044.17,11680.29
