ticker,period,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
GROWTH,1Y,ATM,30,Hold to Expiry,17.21,19.75,-5.74,8,7,1,87.5,3795.72,1,92.0,19729.57,23125.29
GROWTH,1Y,ATM,30,Roll @50% Profit,18.33,21.05,-1.35,11,11,0,81.8,5514.97,0,0.0,19729.57,23345.38
GROWTH,1Y,ATM,30,Roll @75% Profit,9.84,11.24,-7.13,9,9,0,77.8,4635.41,0,0.0,19729.57,21671.22
GROWTH,1Y,ATM,30,Roll @7d Before,31.28,36.2,-1.35,17,17,0,88.2,9319.75,0,0.0,19729.57,25901.16
GROWTH,1Y,ATM,45,Hold to Expiry,14.46,16.57,0.0,5,5,0,100.0,2853.48,0,0.0,19729.57,22583.05
GROWTH,1Y,ATM,45,Roll @50% Profit,21.9,25.21,-1.8,9,9,0,88.9,5689.22,0,0.0,19729.57,24050.25
GROWTH,1Y,ATM,45,Roll @75% Profit,16.69,19.15,0.0,6,6,0,100.0,3846.02,0,0.0,19729.57,23023.1
GROWTH,1Y,ATM,45,Roll @7d Before,36.1,41.89,-0.26,13,13,0,92.3,8970.29,0,0.0,19729.57,26852.93
GROWTH,1Y,ATM,60,Hold to Expiry,14.0,16.04,0.0,4,4,0,100.0,2762.72,0,0.0,19729.57,22492.29
GROWTH,1Y,ATM,60,Roll @50% Profit,22.94,26.41,0.0,7,7,0,100.0,5032.65,0,0.0,19729.57,24254.59
GROWTH,1Y,ATM,60,Roll @75% Profit,18.29,21.0,0.0,5,5,0,100.0,3707.36,0,0.0,19729.57,23337.35
GROWTH,1Y,ATM,60,Roll @7d Before,39.46,45.87,0.0,12,12,0,100.0,9566.37,0,0.0,19729.57,27514.38
GROWTH,1Y,3% OTM,30,Hold to Expiry,11.41,13.05,-4.33,8,7,1,87.5,2450.83,1,92.0,19729.57,21980.4
GROWTH,1Y,3% OTM,30,Roll @50% Profit,12.84,14.7,-0.68,11,11,0,81.8,3401.97,0,0.0,19729.57,22262.73
GROWTH,1Y,3% OTM,30,Roll @75% Profit,5.6,6.38,-6.04,9,9,0,88.9,2861.64,0,0.0,19729.57,20835.07
GROWTH,1Y,3% OTM,30,Roll @7d Before,23.1,26.61,-0.68,17,17,0,88.2,5879.77,0,0.0,19729.57,24287.19
GROWTH,1Y,3% OTM,45,Hold to Expiry,9.8,11.2,0.0,5,5,0,100.0,1934.14,0,0.0,19729.57,21663.71
GROWTH,1Y,3% OTM,45,Roll @50% Profit,16.18,18.56,-1.06,9,9,0,88.9,3914.1,0,0.0,19729.57,22921.96
