ticker,period,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
QQQM,1Y,ATM,30,Hold to Expiry,12.38,14.16,-3.15,8,7,1,100.0,6868.31,1,154.0,48227.53,54195.84
QQQM,1Y,ATM,30,Roll @50% Profit,16.99,19.49,0.0,11,11,0,100.0,9434.07,0,0.0,48227.53,56420.21
QQQM,1Y,ATM,30,Roll @75% Profit,13.92,15.95,0.0,9,9,0,100.0,7650.98,0,0.0,48227.53,54942.35
QQQM,1Y,ATM,30,Roll @7d Before,26.38,30.44,0.0,17,17,0,100.0,16013.43,0,0.0,48227.53,60948.43
QQQM,1Y,ATM,45,Hold to Expiry,10.45,11.94,0.0,5,5,0,100.0,5038.85,0,0.0,48227.53,53266.38
QQQM,1Y,ATM,45,Roll @50% Profit,16.2,18.58,0.0,9,9,0,100.0,9717.54,0,0.0,48227.53,56040.85
QQQM,1Y,ATM,45,Roll @75% Profit,12.99,14.87,0.0,6,6,0,100.0,6271.75,0,0.0,48227.53,54491.65
QQQM,1Y,ATM,45,Roll @7d Before,27.63,31.91,0.0,13,13,0,100.0,15238.45,0,0.0,48227.53,61553.61
QQQM,1Y,ATM,60,Hold to Expiry,8.46,9.66,0.0,4,4,0,100.0,4080.82,0,0.0,48227.53,52308.35
QQQM,1Y,ATM,60,Roll @50% Profit,15.45,17.71,0.0,7,7,0,100.0,8661.02,0,0.0,48227.53,55676.69
QQQM,1Y,ATM,60,Roll @75% Profit,11.21,12.82,0.0,5,5,0,100.0,5411.87,0,0.0,48227.53,53635.4
QQQM,1Y,ATM,60,Roll @7d Before,27.63,31.9,0.0,12,12,0,100.0,15681.91,0,0.0,48227.53,61550.77
QQQM,1Y,3% OTM,30,Hold to Expiry,7.6,8.67,0.0,8,8,0,100.0,3663.56,0,0.0,48227.53,51891.09
QQQM,1Y,3% OTM,30,Roll @50% Profit,10.06,11.49,0.0,11,11,0,100.0,5167.04,0,0.0,48227.53,53078.14
QQQM,1Y,3% OTM,30,Roll @75% Profit,8.57,9.78,0.0,9,9,0,100.0,4142.75,0,0.0,48227.53,52358.4
QQQM,1Y,3% OTM,30,Roll @7d Before,16.98,19.49,0.0,17,17,0,100.0,8702.7,0,0.0,48227.53,56418.93
QQQM,1Y,3% OTM,45,Hold to Expiry,6.63,7.55,0.0,5,5,0,100.0,3195.57,0,0.0,48227.53,51423.09
QQQM,1Y,3% OTM,45,Roll @50% Profit,11.49,13.14,0.0,9,9,0,100.0,6042.31,0,0.0,48227.53,53769.47
QQQM,1Y,3% OTM,45,Roll @75% Profit,8.11,9.25,0.0,6,6,0,100.0,3914.12,0,0.0,48227.53,52136.65
QQQM,1Y,3% OTM,45,Roll @7d Before,18.99,21.82,0.0,13,13,0,100.0,9328.64,0,0.0,48227.53,57388.3
QQQM,1Y,3% OTM,60,Hold to Expiry,5.46,6.22,0.0,4,4,0,100.0,2632.17,0,0.0,48227.53,50859.69
QQQM,1Y,3% OTM,60,Roll @50% Profit,11.01,12.58,0.0,7,7,0,100.0,5682.73,0,0.0,48227.53,53535.79
QQQM,1Y,3% OTM,60,Roll @75% Profit,7.1,8.1,0.0,5,5,0,100.0,3430.12,0,0.0,48227.53,51653.64
QQQM,1Y,3% OTM,60,Roll @7d Before,20.07,23.07,0.0,12,12,0,100.0,9967.55,0,0.0,48227.53,57905.35
QQQM,1Y,5% OTM,30,Hold to Expiry,4.77,5.43,0.0,8,8,0,100.0,2298.5,0,0.0,48227.53,50526.03
QQQM,1Y,5% OTM,30,Roll @50% Profit,6.56,7.48,0.0,11,11,0,100.0,3274.22,0,0.0,48227.53,51392.47
QQQM,1Y,5% OTM,30,Roll @75% Profit,5.35,6.1,0.0,9,9,0,100.0,2588.69,0,0.0,48227.53,50808.22
QQQM,1Y,5% OTM,30,Roll @7d Before,11.05,12.64,0.0,17,17,0,100.0,5482.05,0,0.0,48227.53,53558.93
QQQM,1Y,5% OTM,45,Hold to Expiry,4.72,5.37,0.0,5,5,0,100.0,2275.74,0,0.0,48227.53,50503.26
QQQM,1Y,5% OTM,45,Roll @50% Profit,8.28,9.45,0.0,9,9,0,100.0,4196.09,0,0.0,48227.53,52219.05
QQQM,1Y,5% OTM,45,Roll @75% Profit,5.68,6.48,0.0,6,6,0,100.0,2746.52,0,0.0,48227.53,50969.04
QQQM,1Y,5% OTM,45,Roll @7d Before,13.31,15.24,0.0,13,13,0,100.0,6458.91,0,0.0,48227.53,54645.95
QQQM,1Y,5% OTM,60,Hold to Expiry,3.96,4.5,0.0,4,4,0,100.0,1907.86,0,0.0,48227.53,50135.39
QQQM,1Y,5% OTM,60,Roll @50% Profit,8.28,9.45,0.0,7,7,0,100.0,4191.26,0,0.0,48227.53,52219.31
