ticker,period,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
SPYM,1Y,ATM,30,Hold to Expiry,10.54,12.04,-5.27,8,4,4,100.0,1604.73,3,125.0,11434.88,12639.61
SPYM,1Y,ATM,30,Roll @50% Profit,9.44,10.78,-2.17,11,11,0,81.8,2168.42,0,0.0,11434.88,12514.33
SPYM,1Y,ATM,30,Roll @75% Profit,11.79,13.49,-0.99,9,9,0,88.9,1852.36,0,0.0,11434.88,12783.11
SPYM,1Y,ATM,30,Roll @7d Before,17.38,19.94,-2.17,17,17,0,88.2,3568.86,0,0.0,11434.88,13421.75
SPYM,1Y,ATM,45,Hold to Expiry,7.97,9.09,-3.74,5,4,1,80.0,1111.33,1,137.0,11434.88,12346.21
SPYM,1Y,ATM,45,Roll @50% Profit,12.71,14.55,-2.53,9,9,0,88.9,2178.71,0,0.0,11434.88,12888.82
SPYM,1Y,ATM,45,Roll @75% Profit,10.87,12.43,0.0,6,6,0,100.0,1440.4,0,0.0,11434.88,12677.7
SPYM,1Y,ATM,45,Roll @7d Before,20.5,23.58,-1.5,13,13,0,92.3,3325.51,0,0.0,11434.88,13779.5
SPYM,1Y,ATM,60,Hold to Expiry,9.37,10.7,0.0,4,4,0,100.0,1071.73,0,0.0,11434.88,12506.61
SPYM,1Y,ATM,60,Roll @50% Profit,12.79,14.64,-0.81,7,7,0,85.7,1994.64,0,0.0,11434.88,12897.07
SPYM,1Y,ATM,60,Roll @75% Profit,11.12,12.71,0.0,5,5,0,100.0,1401.38,0,0.0,11434.88,12706.12
SPYM,1Y,ATM,60,Roll @7d Before,24.58,28.33,0.0,12,12,0,100.0,3573.77,0,0.0,11434.88,14245.16
SPYM,1Y,3% OTM,30,Hold to Expiry,6.33,7.21,0.0,8,8,0,100.0,723.66,0,0.0,11434.88,12158.54
SPYM,1Y,3% OTM,30,Roll @50% Profit,5.67,6.46,-0.91,11,11,0,81.8,1052.74,0,0.0,11434.88,12082.76
SPYM,1Y,3% OTM,30,Roll @75% Profit,6.66,7.6,0.0,9,9,0,100.0,818.56,0,0.0,11434.88,12196.92
SPYM,1Y,3% OTM,30,Roll @7d Before,11.18,12.79,-0.91,17,17,0,88.2,1745.25,0,0.0,11434.88,12713.55
SPYM,1Y,3% OTM,45,Hold to Expiry,7.03,8.01,-3.72,5,4,1,80.0,603.32,1,137.0,11434.88,12238.2
SPYM,1Y,3% OTM,45,Roll @50% Profit,7.66,8.74,-1.28,9,9,0,88.9,1190.86,0,0.0,11434.88,12311.07
SPYM,1Y,3% OTM,45,Roll @75% Profit,6.56,7.48,0.0,6,6,0,100.0,769.21,0,0.0,11434.88,12185.24
SPYM,1Y,3% OTM,45,Roll @7d Before,13.4,15.35,-0.36,13,13,0,92.3,1769.9,0,0.0,11434.88,12967.55
SPYM,1Y,3% OTM,60,Hold to Expiry,5.16,5.88,0.0,4,4,0,100.0,590.1,0,0.0,11434.88,12024.98
SPYM,1Y,3% OTM,60,Roll @50% Profit,8.53,9.74,-0.07,7,7,0,85.7,1175.2,0,0.0,11434.88,12410.69
SPYM,1Y,3% OTM,60,Roll @75% Profit,6.87,7.83,0.0,5,5,0,100.0,796.43,0,0.0,11434.88,12220.0
SPYM,1Y,3% OTM,60,Roll @7d Before,17.69,20.31,0.0,12,12,0,100.0,2149.37,0,0.0,11434.88,13458.22
SPYM,1Y,5% OTM,30,Hold to Expiry,3.46,3.94,0.0,8,8,0,100.0,395.83,0,0.0,11434.88,11830.71
SPYM,1Y,5% OTM,30,Roll @50% Profit,3.47,3.95,-0.3,11,11,0,81.8,554.71,0,0.0,11434.88,11831.76
SPYM,1Y,5% OTM,30,Roll @75% Profit,3.82,4.35,0.0,9,9,0,100.0,452.28,0,0.0,11434.88,11872.07
SPYM,1Y,5% OTM,30,Roll @7d Before,6.79,7.75,-0.3,17,17,0,88.2,947.24,0,0.0,11434.88,12211.84
SPYM,1Y,5% OTM,45,Hold to Expiry,3.08,3.51,0.0,5,5,0,100.0,352.63,0,0.0,11434.88,11787.51
