ticker,period,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
VOLATILE,1Y,ATM,30,Hold to Expiry,-15.91,-17.86,-24.53,8,2,6,87.5,989.32,0,0.0,11741.79,9873.27
VOLATILE,1Y,ATM,30,Roll @50% Profit,-2.44,-2.76,-13.52,11,11,0,63.6,4355.32,0,0.0,11741.79,11455.74
VOLATILE,1Y,ATM,30,Roll @75% Profit,2.24,2.54,-10.14,9,9,0,66.7,3622.28,0,0.0,11741.79,12004.57
VOLATILE,1Y,ATM,30,Roll @7d Before,8.0,9.12,-13.52,17,17,0,76.5,6339.44,0,0.0,11741.79,12680.7
VOLATILE,1Y,ATM,45,Hold to Expiry,5.61,6.39,-12.71,5,1,4,100.0,2016.57,0,0.0,11741.79,12400.53
VOLATILE,1Y,ATM,45,Roll @50% Profit,0.89,1.02,-13.57,9,9,0,66.7,4086.95,0,0.0,11741.79,11846.76
VOLATILE,1Y,ATM,45,Roll @75% Profit,4.76,5.42,-9.58,6,6,0,83.3,2866.88,0,0.0,11741.79,12300.71
VOLATILE,1Y,ATM,45,Roll @7d Before,16.55,18.99,-9.4,13,13,0,84.6,5697.21,0,0.0,11741.79,13684.93
VOLATILE,1Y,ATM,60,Hold to Expiry,6.99,7.98,-13.52,4,1,3,100.0,2179.16,0,0.0,11741.79,12563.11
VOLATILE,1Y,ATM,60,Roll @50% Profit,9.85,11.26,-5.19,7,7,0,71.4,3676.4,0,0.0,11741.79,12898.92
VOLATILE,1Y,ATM,60,Roll @75% Profit,7.69,8.77,-3.83,5,5,0,80.0,2693.59,0,0.0,11741.79,12644.32
VOLATILE,1Y,ATM,60,Roll @7d Before,24.25,27.95,-4.7,12,12,0,83.3,5807.44,0,0.0,11741.79,14588.88
VOLATILE,1Y,3% OTM,30,Hold to Expiry,-14.87,-16.7,-22.98,8,2,6,87.5,811.82,0,0.0,11741.79,9995.78
VOLATILE,1Y,3% OTM,30,Roll @50% Profit,-1.24,-1.41,-11.63,11,11,0,63.6,3177.17,0,0.0,11741.79,11595.78
VOLATILE,1Y,3% OTM,30,Roll @75% Profit,4.22,4.8,-6.68,9,9,0,66.7,2543.65,0,0.0,11741.79,12236.94
VOLATILE,1Y,3% OTM,30,Roll @7d Before,8.27,9.44,-11.63,17,17,0,76.5,4596.34,0,0.0,11741.79,12712.74
VOLATILE,1Y,3% OTM,45,Hold to Expiry,1.01,1.15,-13.78,5,2,3,100.0,1576.58,0,0.0,11741.79,11860.54
VOLATILE,1Y,3% OTM,45,Roll @50% Profit,0.53,0.6,-12.23,9,9,0,66.7,3129.69,0,0.0,11741.79,11803.47
VOLATILE,1Y,3% OTM,45,Roll @75% Profit,4.38,4.99,-8.43,6,6,0,83.3,2192.17,0,0.0,11741.79,12256.48
VOLATILE,1Y,3% OTM,45,Roll @7d Before,16.82,19.3,-6.5,13,13,0,84.6,4310.42,0,0.0,11741.79,13717.23
VOLATILE,1Y,3% OTM,60,Hold to Expiry,5.39,6.15,-11.21,4,2,2,100.0,1891.2,0,0.0,11741.79,12375.15
VOLATILE,1Y,3% OTM,60,Roll @50% Profit,9.57,10.94,-4.2,7,7,0,71.4,2945.91,0,0.0,11741.79,12865.83
VOLATILE,1Y,3% OTM,60,Roll @75% Profit,8.95,10.21,-2.56,5,5,0,80.0,2112.03,0,0.0,11741.79,12792.23
VOLATILE,1Y,3% OTM,60,Roll @7d Before,23.97,27.62,-3.01,12,12,0,91.7,4595.79,0,0.0,11741.79,14555.77
VOLATILE,1Y,5% OTM,30,Hold to Expiry,-14.19,-15.95,-21.84,8,2,6,87.5,691.25,0,0.0,11741.79,10075.2
VOLATILE,1Y,5% OTM,30,Roll @50% Profit,-0.14,-0.16,-10.03,11,11,0,63.6,2470.26,0,0.0,11741.79,11724.94
VOLATILE,1Y,5% OTM,30,Roll @75% Profit,3.76,4.28,-5.25,9,9,0,66.7,2000.58,0,0.0,11741.79,12183.15
VOLATILE,1Y,5% OTM,30,Roll @7d Before,7.48,8.53,-10.03,17,17,0,76.5,3507.68,0,0.0,11741.79,12619.92
VOLATILE,1Y,5% OTM,45,Hold to Expiry,0.99,1.13,-14.34,5,2,3,100.0,1374.34,0,0.0,11741.79,11858.3
VOLATILE,1Y,5% OTM,45,Roll @50% Profit,0.28,0.32,-10.44,9,9,0,66.7,2515.23,0,0.0,11741.79,11774.59
VOLATILE,1Y,5% OTM,45,Roll @75% Profit,3.43,3.9,-7.57,6,6,0,83.3,1738.52,0,0.0,11741.79,12144.13
VOLATILE,1Y,5% OTM,45,Roll @7d Before,14.77,16.93,-5.18,13,13,0,84.6,3530.82,0,0.0,11741.79,13476.46
