ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
AMD,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,2.91,3.31,-30.72,8,5,3,62.5,9613.51,2,138.0,29076.3,29922.81
AMD,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,20.12,23.14,-10.71,11,11,0,81.8,16584.73,0,0.0,29076.3,34927.48
AMD,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,22.06,25.39,-4.0,9,9,0,88.9,12723.11,0,0.0,29076.3,35490.96
AMD,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,44.74,52.15,-10.71,17,17,0,88.2,28199.44,0,0.0,29076.3,42084.37
AMD,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,10.85,12.4,-8.99,5,5,0,80.0,8221.68,0,0.0,29076.3,32230.98
AMD,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,28.81,33.3,-0.43,9,9,0,88.9,16457.54,0,0.0,29076.3,37453.8
AMD,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,16.32,18.72,-5.12,6,6,0,83.3,10857.86,0,0.0,29076.3,33820.26
AMD,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,62.13,73.08,-0.99,13,13,0,92.3,27779.73,0,0.0,29076.3,47142.65
AMD,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,11.53,13.18,-19.14,4,3,1,100.0,9218.97,0,0.0,29076.3,32428.27
AMD,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,30.46,35.24,-10.19,7,7,0,85.7,15985.56,0,0.0,29076.3,37934.22
AMD,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,22.56,25.97,0.0,5,5,0,100.0,11002.17,0,0.0,29076.3,35635.12
AMD,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,74.32,87.92,0.0,12,12,0,100.0,28083.28,0,0.0,29076.3,50687.22
AMD,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,4.85,5.52,-29.57,8,5,3,75.0,8376.65,2,138.0,29076.3,30485.95
AMD,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,17.76,20.39,-9.83,11,11,0,81.8,13525.7,0,0.0,29076.3,34240.46
AMD,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,23.53,27.11,-3.01,9,9,0,88.9,10236.57,0,0.0,29076.3,35917.44
AMD,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,41.98,48.86,-9.83,17,17,0,88.2,23330.6,0,0.0,29076.3,41282.02
AMD,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,8.89,10.15,-8.07,5,5,0,80.0,6852.0,0,0.0,29076.3,31661.3
AMD,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,28.16,32.53,-0.34,9,9,0,88.9,13984.13,0,0.0,29076.3,37265.23
AMD,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @75% Profit,14.68,16.82,-4.22,6,6,0,83.3,9302.05,0,0.0,29076.3,33343.57
AMD,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @7d Before,59.49,69.87,-0.43,13,13,0,92.3,23840.41,0,0.0,29076.3,46372.85
AMD,1Y,2025-05-02,2026-03-20,3% OTM,60,Hold to Expiry,12.15,13.9,-7.07,4,4,0,75.0,7799.76,0,0.0,29076.3,32609.06
AMD,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @50% Profit,27.83,32.15,-9.35,7,7,0,85.7,13976.45,0,0.0,29076.3,37168.94
AMD,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @75% Profit,21.76,25.05,0.0,5,5,0,100.0,9525.19,0,0.0,29076.3,35403.87
AMD,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @7d Before,70.42,83.15,0.0,12,12,0,100.0,24569.93,0,0.0,29076.3,49551.85
AMD,1Y,2025-05-02,2026-03-20,5% OTM,30,Hold to Expiry,7.07,8.07,-28.44,8,5,3,75.0,7623.85,2,138.0,29076.3,31133.15
AMD,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @50% Profit,16.2,18.58,-9.2,11,11,0,81.8,11682.66,0,0.0,29076.3,33785.55
AMD,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @75% Profit,22.62,26.05,-2.45,9,9,0,88.9,8825.08,0,0.0,29076.3,35653.15
AMD,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @7d Before,38.87,45.17,-9.2,17,17,0,88.2,20344.57,0,0.0,29076.3,40378.21
AMD,1Y,2025-05-02,2026-03-20,5% OTM,45,Hold to Expiry,7.91,9.03,-7.37,5,5,0,80.0,6067.15,0,0.0,29076.3,31376.45
AMD,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @50% Profit,26.61,30.71,-0.29,9,9,0,88.9,12385.71,0,0.0,29076.3,36812.81
AMD,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @75% Profit,13.63,15.61,-3.5,6,6,0,83.3,8261.1,0,0.0,29076.3,33040.29
AMD,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @7d Before,56.38,66.12,-0.14,13,13,0,92.3,21533.19,0,0.0,29076.3,45468.32
AMD,1Y,2025-05-02,2026-03-20,5% OTM,60,Hold to Expiry,11.22,12.83,-6.39,4,4,0,75.0,7028.38,0,0.0,29076.3,32337.68
AMD,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @50% Profit,25.9,29.88,-8.78,7,7,0,85.7,12688.49,0,0.0,29076.3,36606.73
AMD,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @75% Profit,21.12,24.3,0.0,5,5,0,100.0,8689.7,0,0.0,29076.3,35217.55
AMD,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @7d Before,66.28,78.11,0.0,12,12,0,100.0,22327.45,0,0.0,29076.3,48348.11
AMD,1Y,2025-05-02,2026-03-20,10% OTM,30,Hold to Expiry,8.74,9.98,-13.8,8,6,2,75.0,5709.24,1,185.0,29076.3,31618.54
AMD,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @50% Profit,12.54,14.35,-7.45,11,11,0,90.9,7877.89,0,0.0,29076.3,32723.11
AMD,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @75% Profit,18.21,20.92,-0.55,9,9,0,88.9,5887.16,0,0.0,29076.3,34372.35
AMD,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @7d Before,30.67,35.48,-7.45,17,17,0,94.1,14039.08,0,0.0,29076.3,37994.67
AMD,1Y,2025-05-02,2026-03-20,10% OTM,45,Hold to Expiry,5.96,6.8,-5.34,5,5,0,80.0,4300.82,0,0.0,29076.3,30810.12
AMD,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @50% Profit,22.92,26.4,-0.16,9,9,0,88.9,9084.97,0,0.0,29076.3,35741.43
AMD,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @75% Profit,11.47,13.11,-1.38,6,6,0,83.3,6062.04,0,0.0,29076.3,32410.38
AMD,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @7d Before,47.06,54.93,0.0,13,13,0,100.0,16080.74,0,0.0,29076.3,42759.94
AMD,1Y,2025-05-02,2026-03-20,10% OTM,60,Hold to Expiry,9.9,11.31,-4.25,4,4,0,75.0,5345.69,0,0.0,29076.3,31954.99
AMD,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @50% Profit,21.21,24.41,-7.27,7,7,0,85.7,9861.89,0,0.0,29076.3,35244.49
AMD,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @75% Profit,19.62,22.55,0.0,5,5,0,100.0,6705.36,0,0.0,29076.3,34781.04
AMD,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @7d Before,55.07,64.55,0.0,12,12,0,100.0,17307.0,0,0.0,29076.3,45089.86
