ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
IWM,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,9.11,10.41,-3.69,8,7,1,87.5,4777.48,0,0.0,29624.2,32323.69
IWM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,9.47,10.82,-2.33,11,11,0,72.7,6726.84,0,0.0,29624.2,32429.49
IWM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,11.78,13.48,-2.66,9,9,0,88.9,5664.44,0,0.0,29624.2,33114.88
IWM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,18.31,21.02,-1.83,17,17,0,88.2,10675.99,0,0.0,29624.2,35047.04
IWM,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,4.37,4.97,-12.42,5,4,1,80.0,3971.19,1,183.0,29624.2,30917.39
IWM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,12.94,14.81,-2.38,9,9,0,77.8,6909.31,0,0.0,29624.2,33457.59
IWM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,10.39,11.87,-1.5,6,6,0,83.3,4662.12,0,0.0,29624.2,32700.81
IWM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,22.42,25.81,-0.81,13,13,0,92.3,10093.49,0,0.0,29624.2,36265.19
IWM,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,5.04,5.74,-4.51,4,4,0,75.0,3671.2,0,0.0,29624.2,31117.4
IWM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,10.57,12.08,-3.11,7,7,0,85.7,6298.36,0,0.0,29624.2,32754.42
IWM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,10.77,12.32,0.0,5,5,0,100.0,4535.05,0,0.0,29624.2,32815.72
IWM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,26.91,31.07,0.0,12,12,0,100.0,10967.68,0,0.0,29624.2,37596.56
IWM,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,5.36,6.1,-2.26,8,7,1,87.5,2864.6,0,0.0,29624.2,31210.8
IWM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,7.86,8.97,-0.86,11,11,0,81.8,3630.77,0,0.0,29624.2,31953.68
IWM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,7.95,9.07,-1.32,9,9,0,88.9,3096.81,0,0.0,29624.2,31978.51
IWM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,14.44,16.54,-0.86,17,17,0,88.2,5816.81,0,0.0,29624.2,33901.09
IWM,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,3.4,3.87,-3.46,5,5,0,80.0,2385.04,0,0.0,29624.2,30631.24
IWM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,10.65,12.17,-1.12,9,9,0,88.9,4239.54,0,0.0,29624.2,32777.71
IWM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @75% Profit,8.58,9.79,-0.23,6,6,0,83.3,2914.99,0,0.0,29624.2,32165.75
IWM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @7d Before,18.47,21.22,-0.14,13,13,0,92.3,6247.42,0,0.0,29624.2,35096.02
IWM,1Y,2025-05-02,2026-03-20,3% OTM,60,Hold to Expiry,3.71,4.22,-3.13,4,4,0,75.0,2477.18,0,0.0,29624.2,30723.38
IWM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @50% Profit,9.69,11.07,-1.94,7,7,0,85.7,4216.34,0,0.0,29624.2,32495.54
IWM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @75% Profit,9.67,11.04,0.0,5,5,0,100.0,3046.02,0,0.0,29624.2,32488.46
IWM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @7d Before,22.84,26.3,0.0,12,12,0,100.0,7319.85,0,0.0,29624.2,36390.28
IWM,1Y,2025-05-02,2026-03-20,5% OTM,30,Hold to Expiry,3.65,4.16,-1.58,8,7,1,87.5,1860.68,0,0.0,29624.2,30706.88
IWM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @50% Profit,5.94,6.76,-0.46,11,11,0,81.8,2331.52,0,0.0,29624.2,31382.57
IWM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @75% Profit,5.7,6.5,-0.31,9,9,0,88.9,1977.52,0,0.0,29624.2,31314.11
IWM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @7d Before,10.1,11.54,-0.46,17,17,0,88.2,3672.21,0,0.0,29624.2,32616.03
IWM,1Y,2025-05-02,2026-03-20,5% OTM,45,Hold to Expiry,2.97,3.37,-2.3,5,5,0,80.0,1756.79,0,0.0,29624.2,30503.0
IWM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @50% Profit,8.19,9.35,-0.38,9,9,0,88.9,2959.04,0,0.0,29624.2,32051.54
IWM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @75% Profit,6.62,7.54,0.0,6,6,0,100.0,2062.95,0,0.0,29624.2,31584.56
IWM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @7d Before,13.78,15.78,0.0,13,13,0,100.0,4333.74,0,0.0,29624.2,33705.04
IWM,1Y,2025-05-02,2026-03-20,5% OTM,60,Hold to Expiry,3.66,4.17,-1.77,4,4,0,75.0,1863.12,0,0.0,29624.2,30709.33
IWM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @50% Profit,7.98,9.1,-1.23,7,7,0,85.7,3130.42,0,0.0,29624.2,31987.45
IWM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @75% Profit,7.58,8.65,0.0,5,5,0,100.0,2265.58,0,0.0,29624.2,31869.26
IWM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @7d Before,17.66,20.27,0.0,12,12,0,100.0,5378.56,0,0.0,29624.2,34854.37
IWM,1Y,2025-05-02,2026-03-20,10% OTM,30,Hold to Expiry,1.87,2.13,0.0,8,8,0,100.0,555.44,0,0.0,29624.2,30179.64
IWM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @50% Profit,2.12,2.41,0.0,11,11,0,100.0,656.07,0,0.0,29624.2,30252.03
IWM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @75% Profit,2.0,2.28,0.0,9,9,0,100.0,601.2,0,0.0,29624.2,30217.41
IWM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @7d Before,3.03,3.45,0.0,17,17,0,100.0,940.41,0,0.0,29624.2,30523.01
IWM,1Y,2025-05-02,2026-03-20,10% OTM,45,Hold to Expiry,2.55,2.9,0.0,5,5,0,100.0,756.46,0,0.0,29624.2,30380.66
IWM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @50% Profit,3.67,4.18,0.0,9,9,0,100.0,1115.92,0,0.0,29624.2,30712.84
IWM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @75% Profit,2.8,3.18,0.0,6,6,0,100.0,834.05,0,0.0,29624.2,30453.25
IWM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @7d Before,5.04,5.75,0.0,13,13,0,100.0,1508.54,0,0.0,29624.2,31118.65
IWM,1Y,2025-05-02,2026-03-20,10% OTM,60,Hold to Expiry,3.11,3.54,0.0,4,4,0,100.0,922.63,0,0.0,29624.2,30546.83
IWM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @50% Profit,4.33,4.93,-0.15,7,7,0,85.7,1393.21,0,0.0,29624.2,30907.59
IWM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @75% Profit,3.58,4.08,0.0,5,5,0,100.0,1065.64,0,0.0,29624.2,30685.84
IWM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @7d Before,7.49,8.54,0.0,12,12,0,100.0,2229.37,0,0.0,29624.2,31842.58
IWM,3Y,2023-04-28,2026-03-20,ATM,30,Hold to Expiry,18.25,5.99,-16.83,24,13,11,83.3,9985.16,4,286.0,29624.2,35031.36
IWM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @50% Profit,15.25,5.05,-4.85,33,33,0,69.7,17688.64,0,0.0,29624.2,34141.34
IWM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @75% Profit,11.57,3.87,-10.16,26,26,0,76.9,13856.91,0,0.0,29624.2,33052.96
IWM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @7d Before,24.01,7.75,-4.85,39,39,0,76.9,21637.8,0,0.0,29624.2,36735.82
