ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
JPM,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,9.15,10.45,-9.32,8,5,3,87.5,6611.32,1,154.0,36807.1,40174.42
JPM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,11.13,12.73,-2.52,11,11,0,72.7,9650.63,0,0.0,36807.1,40903.6
JPM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,9.69,11.07,-4.01,9,9,0,88.9,7869.16,0,0.0,36807.1,40373.26
JPM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,20.85,23.98,-2.52,17,17,0,82.4,15394.78,0,0.0,36807.1,44481.27
JPM,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,9.54,10.9,-8.56,5,4,1,80.0,5656.09,1,183.0,36807.1,40319.19
JPM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,9.62,10.99,-5.42,9,9,0,66.7,9921.17,0,0.0,36807.1,40348.17
JPM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,4.92,5.61,-8.34,6,6,0,83.3,6596.73,0,0.0,36807.1,38619.77
JPM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,22.73,26.18,-4.27,13,13,0,92.3,14326.48,0,0.0,36807.1,45174.27
JPM,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,10.29,11.76,-9.26,4,3,1,100.0,5432.94,0,0.0,36807.1,40596.04
JPM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,16.11,18.48,-0.02,7,7,0,85.7,9349.89,0,0.0,36807.1,42737.43
JPM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,7.37,8.4,-6.24,5,5,0,80.0,6777.63,0,0.0,36807.1,39517.95
JPM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,28.71,33.17,-1.85,12,12,0,91.7,15889.46,0,0.0,36807.1,47374.04
JPM,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,5.39,6.14,-9.58,8,6,2,87.5,4126.4,0,0.0,36807.1,38789.49
JPM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,8.69,9.92,-1.4,11,11,0,81.8,5619.18,0,0.0,36807.1,40004.38
JPM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,7.07,8.06,-2.86,9,9,0,88.9,4577.86,0,0.0,36807.1,39408.39
JPM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,16.51,18.94,-1.4,17,17,0,88.2,9118.77,0,0.0,36807.1,42882.68
JPM,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,8.56,9.78,0.0,5,5,0,100.0,3595.98,0,0.0,36807.1,39959.07
JPM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,7.57,8.64,-3.66,9,9,0,77.8,6497.66,0,0.0,36807.1,39593.28
