ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
KO,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,6.79,7.75,-3.97,8,5,3,87.5,1130.34,1,123.0,8910.33,9515.67
KO,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,3.3,3.75,-2.73,11,11,0,72.7,1570.55,0,0.0,8910.33,9204.42
KO,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,1.0,1.13,-3.16,9,9,0,66.7,1351.68,0,0.0,8910.33,8999.32
KO,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,10.5,12.0,-2.73,17,17,0,82.4,2564.51,0,0.0,8910.33,9845.59
KO,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,6.66,7.6,-3.57,5,3,2,100.0,893.86,1,137.0,8910.33,9504.19
KO,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,1.48,1.69,-2.62,9,9,0,55.6,1594.73,0,0.0,8910.33,9042.56
KO,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,5.56,6.34,-2.12,6,6,0,66.7,1156.86,0,0.0,8910.33,9406.04
KO,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,14.5,16.61,-1.49,13,13,0,92.3,2473.6,0,0.0,8910.33,10202.18
KO,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,6.5,7.41,-4.9,4,3,1,100.0,879.53,1,121.0,8910.33,9489.86
KO,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,9.05,10.34,-0.56,7,7,0,85.7,1510.5,0,0.0,8910.33,9716.97
KO,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,2.4,2.72,-0.92,5,5,0,60.0,953.75,0,0.0,8910.33,9123.81
KO,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,16.09,18.45,-1.63,12,12,0,91.7,2613.86,0,0.0,8910.33,10343.98
KO,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,5.45,6.21,0.0,8,8,0,100.0,510.33,0,0.0,8910.33,9395.66
KO,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,4.34,4.94,-1.37,11,11,0,90.9,676.63,0,0.0,8910.33,9296.8
KO,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,3.11,3.54,-1.8,9,9,0,88.9,596.27,0,0.0,8910.33,9187.26
KO,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,8.73,9.96,-1.37,17,17,0,88.2,1132.84,0,0.0,8910.33,9688.0
KO,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,6.86,7.82,-3.35,5,4,1,100.0,510.92,1,137.0,8910.33,9521.26
KO,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,4.13,4.7,-1.33,9,9,0,88.9,825.5,0,0.0,8910.33,9277.95
KO,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @75% Profit,5.97,6.8,-0.21,6,6,0,83.3,623.87,0,0.0,8910.33,9442.33
KO,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @7d Before,12.55,14.36,-0.33,13,13,0,92.3,1317.05,0,0.0,8910.33,10028.22
KO,1Y,2025-05-02,2026-03-20,3% OTM,60,Hold to Expiry,6.56,7.47,-4.84,4,3,1,100.0,584.08,1,121.0,8910.33,9494.41
KO,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @50% Profit,7.85,8.96,0.0,7,7,0,100.0,861.23,0,0.0,8910.33,9609.94
KO,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @75% Profit,4.68,5.33,0.0,5,5,0,100.0,521.71,0,0.0,8910.33,9327.04
KO,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @7d Before,14.45,16.56,-0.44,12,12,0,91.7,1512.71,0,0.0,8910.33,10198.28
KO,1Y,2025-05-02,2026-03-20,5% OTM,30,Hold to Expiry,3.21,3.65,0.0,8,8,0,100.0,286.19,0,0.0,8910.33,9196.52
KO,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @50% Profit,2.64,3.0,-0.7,11,11,0,90.9,345.92,0,0.0,8910.33,9145.52
KO,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @75% Profit,2.91,3.31,-0.28,9,9,0,88.9,328.31,0,0.0,8910.33,9169.9
KO,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @7d Before,4.74,5.4,-0.7,17,17,0,94.1,573.66,0,0.0,8910.33,9332.73
KO,1Y,2025-05-02,2026-03-20,5% OTM,45,Hold to Expiry,3.23,3.67,0.0,5,5,0,100.0,287.65,0,0.0,8910.33,9197.98
KO,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @50% Profit,3.79,4.31,-0.72,9,9,0,88.9,533.88,0,0.0,8910.33,9247.91
