ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
QQQM,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,5.72,6.52,-3.8,8,6,2,87.5,4080.46,1,185.0,28760.3,30404.75
QQQM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,11.16,12.76,-1.71,11,11,0,81.8,5939.93,0,0.0,28760.3,31970.57
QQQM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,10.73,12.27,-1.45,9,9,0,77.8,4876.94,0,0.0,28760.3,31847.69
QQQM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,18.32,21.04,-1.54,17,17,0,94.1,9104.04,0,0.0,28760.3,34029.98
QQQM,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,5.65,6.44,-4.61,5,5,0,80.0,3661.34,0,0.0,28760.3,30385.63
QQQM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,13.2,15.11,-0.11,9,9,0,88.9,6043.26,0,0.0,28760.3,32556.25
QQQM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,8.9,10.17,-1.48,6,6,0,83.3,4236.24,0,0.0,28760.3,31320.76
QQQM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,19.27,22.15,-0.17,13,13,0,92.3,8530.93,0,0.0,28760.3,34303.55
QQQM,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,5.94,6.77,-5.21,4,3,1,100.0,3543.47,0,0.0,28760.3,30467.77
QQQM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,13.28,15.21,-0.49,7,7,0,85.7,5716.11,0,0.0,28760.3,32580.61
QQQM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,8.45,9.65,-1.15,5,5,0,60.0,4122.28,0,0.0,28760.3,31190.52
QQQM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,22.38,25.76,0.0,12,12,0,100.0,9102.3,0,0.0,28760.3,35196.47
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,4.2,4.78,-2.2,8,7,1,87.5,2342.6,0,0.0,28760.3,29966.9
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,8.24,9.41,-0.57,11,11,0,90.9,3014.92,0,0.0,28760.3,31131.42
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,8.27,9.43,0.0,9,9,0,100.0,2522.37,0,0.0,28760.3,31137.75
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,13.2,15.12,-0.57,17,17,0,94.1,4554.75,0,0.0,28760.3,32557.33
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,3.64,4.15,-3.16,5,5,0,80.0,2284.16,0,0.0,28760.3,29808.46
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,11.05,12.64,0.0,9,9,0,100.0,3573.61,0,0.0,28760.3,31938.99
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @75% Profit,7.99,9.12,-0.28,6,6,0,83.3,2574.22,0,0.0,28760.3,31058.11
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @7d Before,15.46,17.72,0.0,13,13,0,100.0,4907.11,0,0.0,28760.3,33205.51
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,60,Hold to Expiry,4.37,4.97,-2.31,4,4,0,75.0,2292.48,0,0.0,28760.3,30016.78
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @50% Profit,11.78,13.47,0.0,7,7,0,100.0,3745.85,0,0.0,28760.3,32147.2
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @75% Profit,8.09,9.23,0.0,5,5,0,100.0,2678.26,0,0.0,28760.3,31087.64
QQQM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @7d Before,18.75,21.54,0.0,12,12,0,100.0,5759.62,0,0.0,28760.3,34153.32
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,30,Hold to Expiry,3.01,3.42,-2.28,8,7,1,87.5,1501.68,0,0.0,28760.3,29625.98
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @50% Profit,5.78,6.59,-0.17,11,11,0,90.9,1840.64,0,0.0,28760.3,30423.94
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @75% Profit,5.43,6.18,0.0,9,9,0,100.0,1569.26,0,0.0,28760.3,30320.82
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @7d Before,8.47,9.66,-0.17,17,17,0,94.1,2663.71,0,0.0,28760.3,31195.16
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,45,Hold to Expiry,3.24,3.69,-1.95,5,5,0,80.0,1669.23,0,0.0,28760.3,29693.52
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @50% Profit,8.05,9.18,0.0,9,9,0,100.0,2427.95,0,0.0,28760.3,31074.75
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @75% Profit,6.1,6.95,0.0,6,6,0,100.0,1803.4,0,0.0,28760.3,30513.98
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @7d Before,10.96,12.53,0.0,13,13,0,100.0,3249.71,0,0.0,28760.3,31911.47
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,60,Hold to Expiry,4.22,4.8,-1.11,4,4,0,75.0,1748.67,0,0.0,28760.3,29972.96
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @50% Profit,9.07,10.35,0.0,7,7,0,100.0,2733.77,0,0.0,28760.3,31368.14
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @75% Profit,6.82,7.78,0.0,5,5,0,100.0,2005.18,0,0.0,28760.3,30721.51
QQQM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @7d Before,13.86,15.87,0.0,12,12,0,100.0,4058.79,0,0.0,28760.3,32746.32
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,30,Hold to Expiry,1.87,2.13,0.0,8,8,0,100.0,538.19,0,0.0,28760.3,29298.49
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @50% Profit,2.07,2.35,0.0,11,11,0,81.8,605.23,0,0.0,28760.3,29354.74
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @75% Profit,1.89,2.15,0.0,9,9,0,88.9,552.15,0,0.0,28760.3,29304.44
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @7d Before,2.4,2.73,0.0,17,17,0,88.2,706.22,0,0.0,28760.3,29449.73
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,45,Hold to Expiry,2.83,3.22,0.0,5,5,0,100.0,814.99,0,0.0,28760.3,29575.29
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @50% Profit,3.32,3.78,0.0,9,9,0,100.0,962.89,0,0.0,28760.3,29715.18
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @75% Profit,2.82,3.21,0.0,6,6,0,100.0,816.76,0,0.0,28760.3,29572.05
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @7d Before,3.82,4.34,0.0,13,13,0,100.0,1109.55,0,0.0,28760.3,29857.85
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,60,Hold to Expiry,3.39,3.86,0.0,4,4,0,100.0,976.1,0,0.0,28760.3,29736.4
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @50% Profit,4.32,4.92,0.0,7,7,0,100.0,1250.47,0,0.0,28760.3,30003.9
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @75% Profit,3.61,4.11,0.0,5,5,0,100.0,1042.18,0,0.0,28760.3,29798.48
QQQM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @7d Before,5.6,6.38,0.0,12,12,0,100.0,1621.15,0,0.0,28760.3,30370.45
QQQM,3Y,2023-04-28,2026-03-20,ATM,30,Hold to Expiry,20.04,6.54,-14.14,24,16,8,91.7,9199.14,4,270.0,28760.3,34523.44
QQQM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @50% Profit,17.56,5.77,-5.23,33,33,0,78.8,14437.33,0,0.0,28760.3,33809.5
QQQM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @75% Profit,12.58,4.2,-7.88,26,26,0,76.9,11203.73,0,0.0,28760.3,32378.9
QQQM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @7d Before,24.77,7.98,-5.23,39,39,0,84.6,17601.44,0,0.0,28760.3,35884.32
QQQM,3Y,2023-04-28,2026-03-20,ATM,45,Hold to Expiry,21.1,6.87,-11.47,16,13,3,93.8,8604.88,2,436.0,28760.3,34829.17
QQQM,3Y,2023-04-28,2026-03-20,ATM,45,Roll @50% Profit,21.15,6.89,-1.64,23,23,0,73.9,12268.56,0,0.0,28760.3,34842.89
QQQM,3Y,2023-04-28,2026-03-20,ATM,45,Roll @75% Profit,13.75,4.57,-2.78,18,18,0,72.2,9894.02,0,0.0,28760.3,32715.78
QQQM,3Y,2023-04-28,2026-03-20,ATM,45,Roll @7d Before,20.18,6.59,-8.23,26,26,0,92.3,14253.04,0,0.0,28760.3,34562.76
QQQM,3Y,2023-04-28,2026-03-20,ATM,60,Hold to Expiry,14.95,4.95,-9.58,12,10,2,75.0,6735.64,2,334.0,28760.3,33059.94
QQQM,3Y,2023-04-28,2026-03-20,ATM,60,Roll @50% Profit,12.54,4.19,-10.54,18,18,0,83.3,11159.29,0,0.0,28760.3,32366.28
QQQM,3Y,2023-04-28,2026-03-20,ATM,60,Roll @75% Profit,17.02,5.61,-2.98,14,14,0,85.7,8857.85,0,0.0,28760.3,33656.68
QQQM,3Y,2023-04-28,2026-03-20,ATM,60,Roll @7d Before,23.67,7.65,-1.95,21,21,0,81.0,12903.95,0,0.0,28760.3,35566.77
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,30,Hold to Expiry,12.45,4.16,-12.01,24,20,4,95.8,4718.08,2,324.0,28760.3,32342.38
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @50% Profit,10.77,3.62,-4.14,33,33,0,84.8,7094.46,0,0.0,28760.3,31858.59
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @75% Profit,6.73,2.29,-6.17,26,26,0,88.5,5526.77,0,0.0,28760.3,30694.54
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @7d Before,15.72,5.2,-4.14,39,39,0,87.2,8634.29,0,0.0,28760.3,33282.59
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,45,Hold to Expiry,14.31,4.75,-3.78,16,15,1,93.8,5150.55,1,551.0,28760.3,32874.85
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @50% Profit,15.41,5.1,-0.81,23,23,0,82.6,6803.29,0,0.0,28760.3,33192.86
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @75% Profit,11.5,3.85,-1.42,18,18,0,77.8,5646.21,0,0.0,28760.3,32068.57
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @7d Before,13.14,4.38,-7.09,26,26,0,92.3,7850.46,0,0.0,28760.3,32538.52
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,60,Hold to Expiry,12.85,4.28,-9.9,12,10,2,75.0,4530.42,2,334.0,28760.3,32454.71
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @50% Profit,8.21,2.78,-9.96,18,18,0,94.4,6776.33,0,0.0,28760.3,31122.24
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @75% Profit,14.93,4.95,-1.84,14,14,0,92.9,5455.63,0,0.0,28760.3,33054.84
QQQM,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @7d Before,19.13,6.27,-0.99,21,21,0,85.7,7666.26,0,0.0,28760.3,34263.37
QQQM,3Y,2023-04-28,2026-03-20,5% OTM,30,Hold to Expiry,8.88,3.0,-11.47,24,22,2,95.8,2754.26,1,526.0,28760.3,31314.55
QQQM,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @50% Profit,6.79,2.31,-3.16,33,33,0,84.8,4177.23,0,0.0,28760.3,30713.76
QQQM,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @75% Profit,3.71,1.27,-4.21,26,26,0,88.5,3254.18,0,0.0,28760.3,29828.05
