ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
SCHD,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,8.81,10.06,-3.82,8,6,2,87.5,369.88,2,108.0,3504.6,3813.48
SCHD,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,5.15,5.86,-1.82,11,11,0,63.6,504.18,0,0.0,3504.6,3684.93
SCHD,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,5.38,6.13,-2.1,9,9,0,66.7,455.72,0,0.0,3504.6,3693.19
SCHD,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,9.17,10.48,-1.24,17,17,0,76.5,826.69,0,0.0,3504.6,3826.1
SCHD,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,8.07,9.2,-4.26,5,3,2,100.0,282.66,1,183.0,3504.6,3787.26
SCHD,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,7.85,8.95,-0.81,9,9,0,88.9,532.07,0,0.0,3504.6,3779.59
SCHD,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,5.7,6.49,-0.91,6,6,0,83.3,338.53,0,0.0,3504.6,3704.34
SCHD,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,12.79,14.64,-0.17,13,13,0,92.3,784.24,0,0.0,3504.6,3952.9
SCHD,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,7.96,9.09,0.0,4,4,0,100.0,279.02,0,0.0,3504.6,3783.62
SCHD,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,8.76,10.0,0.0,7,7,0,100.0,457.07,0,0.0,3504.6,3811.64
SCHD,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,7.36,8.39,-0.06,5,5,0,80.0,370.34,0,0.0,3504.6,3762.39
SCHD,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,13.78,15.79,0.0,12,12,0,100.0,762.01,0,0.0,3504.6,3987.68
SCHD,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,4.95,5.64,0.0,8,8,0,100.0,173.53,0,0.0,3504.6,3678.13
