ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
SPYM,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,6.9,7.87,-3.0,8,7,1,87.5,1086.53,0,0.0,8981.21,9600.74
SPYM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,7.85,8.96,-2.42,11,11,0,72.7,1467.88,0,0.0,8981.21,9686.33
SPYM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,7.52,8.58,-2.54,9,9,0,77.8,1233.79,0,0.0,8981.21,9656.5
SPYM,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,13.96,15.99,-0.64,17,17,0,82.4,2215.33,0,0.0,8981.21,10235.24
SPYM,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,3.96,4.51,-4.37,5,5,0,80.0,923.03,0,0.0,8981.21,9337.24
SPYM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,10.06,11.49,-1.11,9,9,0,88.9,1505.05,0,0.0,8981.21,9884.5
SPYM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,6.5,7.41,-2.18,6,6,0,66.7,1034.25,0,0.0,8981.21,9565.04
SPYM,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,15.55,17.83,-0.38,13,13,0,92.3,2125.34,0,0.0,8981.21,10378.1
SPYM,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,4.4,5.0,-3.53,4,4,0,75.0,861.8,0,0.0,8981.21,9376.02
SPYM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,10.5,12.0,-0.16,7,7,0,85.7,1447.5,0,0.0,8981.21,9924.13
SPYM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,6.02,6.86,-1.94,5,5,0,60.0,1035.77,0,0.0,8981.21,9521.98
SPYM,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,16.85,19.33,0.0,12,12,0,100.0,2189.54,0,0.0,8981.21,10494.49
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,2.45,2.78,-1.96,8,7,1,87.5,486.79,0,0.0,8981.21,9201.01
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,6.29,7.18,0.0,11,11,0,100.0,614.05,0,0.0,8981.21,9546.55
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,4.92,5.6,-0.28,9,9,0,88.9,511.19,0,0.0,8981.21,9423.22
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,8.65,9.87,0.0,17,17,0,100.0,851.35,0,0.0,8981.21,9757.77
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,2.86,3.25,-2.42,5,5,0,80.0,523.92,0,0.0,8981.21,9238.13
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,7.33,8.36,-0.11,9,9,0,88.9,757.35,0,0.0,8981.21,9639.12
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @75% Profit,5.82,6.63,-0.1,6,6,0,83.3,552.26,0,0.0,8981.21,9503.85
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @7d Before,10.33,11.8,0.0,13,13,0,100.0,974.96,0,0.0,8981.21,9908.84
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,60,Hold to Expiry,3.28,3.73,-2.2,4,4,0,75.0,561.58,0,0.0,8981.21,9275.79
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @50% Profit,8.4,9.58,0.0,7,7,0,100.0,806.27,0,0.0,8981.21,9735.31
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @75% Profit,6.03,6.87,-0.06,5,5,0,80.0,601.7,0,0.0,8981.21,9522.36
SPYM,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @7d Before,12.24,14.01,0.0,12,12,0,100.0,1137.44,0,0.0,8981.21,10080.81
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,30,Hold to Expiry,3.45,3.93,0.0,8,8,0,100.0,310.29,0,0.0,8981.21,9291.51
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @50% Profit,3.88,4.41,0.0,11,11,0,100.0,362.96,0,0.0,8981.21,9329.4
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @75% Profit,3.63,4.13,0.0,9,9,0,100.0,342.35,0,0.0,8981.21,9307.33
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @7d Before,5.04,5.74,0.0,17,17,0,100.0,474.88,0,0.0,8981.21,9434.16
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,45,Hold to Expiry,2.28,2.59,-1.55,5,5,0,80.0,371.51,0,0.0,8981.21,9185.72
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @50% Profit,5.49,6.25,0.0,9,9,0,100.0,507.41,0,0.0,8981.21,9473.96
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @75% Profit,4.28,4.87,0.0,6,6,0,100.0,391.8,0,0.0,8981.21,9365.72
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @7d Before,6.75,7.7,0.0,13,13,0,100.0,621.16,0,0.0,8981.21,9587.64
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,60,Hold to Expiry,3.91,4.45,-0.47,4,4,0,75.0,418.16,0,0.0,8981.21,9332.38
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @50% Profit,6.35,7.24,0.0,7,7,0,100.0,579.29,0,0.0,8981.21,9551.56
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @75% Profit,5.16,5.87,0.0,5,5,0,100.0,468.6,0,0.0,8981.21,9444.23
SPYM,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @7d Before,8.69,9.93,0.0,12,12,0,100.0,791.86,0,0.0,8981.21,9762.07
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,30,Hold to Expiry,1.24,1.41,0.0,8,8,0,100.0,111.63,0,0.0,8981.21,9092.85
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @50% Profit,1.18,1.34,0.0,11,11,0,45.5,115.75,0,0.0,8981.21,9086.97
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @75% Profit,1.15,1.31,0.0,9,9,0,44.4,111.52,0,0.0,8981.21,9084.74
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @7d Before,1.18,1.34,0.0,17,17,0,41.2,122.25,0,0.0,8981.21,9087.47
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,45,Hold to Expiry,1.91,2.17,0.0,5,5,0,100.0,171.12,0,0.0,8981.21,9152.33
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @50% Profit,1.98,2.25,0.0,9,9,0,66.7,185.81,0,0.0,8981.21,9159.02
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @75% Profit,1.8,2.05,0.0,6,6,0,50.0,166.64,0,0.0,8981.21,9142.85
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @7d Before,1.98,2.25,0.0,13,13,0,76.9,189.88,0,0.0,8981.21,9159.09
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,60,Hold to Expiry,2.41,2.74,0.0,4,4,0,100.0,216.72,0,0.0,8981.21,9197.93
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @50% Profit,2.62,2.98,0.0,7,7,0,100.0,241.17,0,0.0,8981.21,9216.39
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @75% Profit,2.43,2.76,0.0,5,5,0,60.0,222.22,0,0.0,8981.21,9199.43
SPYM,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @7d Before,2.9,3.3,0.0,12,12,0,83.3,271.8,0,0.0,8981.21,9242.02
SPYM,3Y,2023-04-28,2026-03-20,ATM,30,Hold to Expiry,15.79,5.22,-11.62,24,18,6,87.5,2085.28,2,324.0,8981.21,10399.5
SPYM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @50% Profit,12.16,4.06,-2.86,33,33,0,72.7,3386.52,0,0.0,8981.21,10073.65
SPYM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @75% Profit,8.36,2.83,-7.21,26,26,0,76.9,2744.29,0,0.0,8981.21,9731.91
SPYM,3Y,2023-04-28,2026-03-20,ATM,30,Roll @7d Before,18.06,5.93,-2.86,39,39,0,79.5,4133.98,0,0.0,8981.21,10603.46
SPYM,3Y,2023-04-28,2026-03-20,ATM,45,Hold to Expiry,16.16,5.34,-11.0,16,13,3,87.5,2018.14,2,344.0,8981.21,10432.36
SPYM,3Y,2023-04-28,2026-03-20,ATM,45,Roll @50% Profit,14.64,4.86,-1.37,23,23,0,69.6,2823.31,0,0.0,8981.21,10295.72
SPYM,3Y,2023-04-28,2026-03-20,ATM,45,Roll @75% Profit,9.98,3.36,-2.87,18,18,0,83.3,2330.41,0,0.0,8981.21,9877.22
SPYM,3Y,2023-04-28,2026-03-20,ATM,45,Roll @7d Before,16.22,5.36,-6.78,26,26,0,92.3,3260.18,0,0.0,8981.21,10437.96
SPYM,3Y,2023-04-28,2026-03-20,ATM,60,Hold to Expiry,9.97,3.35,-8.49,12,10,2,75.0,1462.31,2,334.0,8981.21,9876.52
SPYM,3Y,2023-04-28,2026-03-20,ATM,60,Roll @50% Profit,7.34,2.49,-9.81,18,18,0,83.3,2548.55,0,0.0,8981.21,9640.45
SPYM,3Y,2023-04-28,2026-03-20,ATM,60,Roll @75% Profit,14.74,4.89,-1.1,14,14,0,78.6,2098.02,0,0.0,8981.21,10305.07
SPYM,3Y,2023-04-28,2026-03-20,ATM,60,Roll @7d Before,18.71,6.14,-1.76,21,21,0,81.0,3105.09,0,0.0,8981.21,10661.95
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,30,Hold to Expiry,6.74,2.29,-11.13,24,21,3,87.5,772.1,2,324.0,8981.21,9586.32
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @50% Profit,7.48,2.54,-1.74,33,33,0,81.8,1288.43,0,0.0,8981.21,9653.3
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @75% Profit,2.0,0.69,-4.83,26,26,0,80.8,1079.95,0,0.0,8981.21,9161.14
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @7d Before,9.84,3.31,-1.74,39,39,0,84.6,1525.74,0,0.0,8981.21,9864.52
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,45,Hold to Expiry,8.46,2.86,-3.15,16,15,1,87.5,1026.45,1,551.0,8981.21,9740.66
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @50% Profit,9.23,3.11,-0.73,23,23,0,73.9,1341.05,0,0.0,8981.21,9810.61
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @75% Profit,7.59,2.57,-1.57,18,18,0,83.3,1146.61,0,0.0,8981.21,9662.81
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @7d Before,8.08,2.73,-5.78,26,26,0,92.3,1472.29,0,0.0,8981.21,9706.66
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,60,Hold to Expiry,8.9,3.0,-9.18,12,10,2,75.0,966.02,2,334.0,8981.21,9780.23
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @50% Profit,2.69,0.93,-9.06,18,18,0,88.9,1289.54,0,0.0,8981.21,9222.78
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @75% Profit,11.01,3.69,-0.16,14,14,0,85.7,1153.91,0,0.0,8981.21,9970.26
SPYM,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @7d Before,11.72,3.92,-1.08,21,21,0,90.5,1384.85,0,0.0,8981.21,10034.22
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,30,Hold to Expiry,4.94,1.69,-10.0,24,22,2,95.8,443.93,1,526.0,8981.21,9425.15
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @50% Profit,4.32,1.48,-0.7,33,33,0,84.8,632.72,0,0.0,8981.21,9369.21
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @75% Profit,2.31,0.79,-2.37,26,26,0,84.6,523.11,0,0.0,8981.21,9188.44
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @7d Before,5.5,1.88,-0.7,39,39,0,87.2,744.64,0,0.0,8981.21,9475.12
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,45,Hold to Expiry,5.9,2.01,-0.58,16,16,0,93.8,596.58,0,0.0,8981.21,9510.8
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,45,Roll @50% Profit,5.93,2.02,-0.29,23,23,0,78.3,736.13,0,0.0,8981.21,9513.74
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,45,Roll @75% Profit,5.15,1.76,-0.74,18,18,0,88.9,631.42,0,0.0,8981.21,9444.02
SPYM,3Y,2023-04-28,2026-03-20,5% OTM,45,Roll @7d Before,3.02,1.04,-5.16,26,26,0,92.3,833.33,0,0.0,8981.21,9252.15
