ticker,period,period_start,period_end,strike,dte,roll,total_return_pct,annual_return_pct,max_drawdown_pct,total_trades,csp_trades,cc_trades,win_rate,premium_collected,completed_cycles,avg_cycle_days,initial_capital,final_capital
T,1Y,2025-05-02,2026-03-20,ATM,30,Hold to Expiry,11.47,13.12,-17.62,8,3,5,87.5,465.7,2,141.0,3187.8,3553.5
T,1Y,2025-05-02,2026-03-20,ATM,30,Roll @50% Profit,3.08,3.5,-10.16,11,11,0,63.6,803.89,0,0.0,3187.8,3285.93
T,1Y,2025-05-02,2026-03-20,ATM,30,Roll @75% Profit,5.55,6.32,-7.45,9,9,0,77.8,682.01,0,0.0,3187.8,3364.77
T,1Y,2025-05-02,2026-03-20,ATM,30,Roll @7d Before,12.93,14.8,-10.16,17,17,0,70.6,1386.34,0,0.0,3187.8,3599.86
T,1Y,2025-05-02,2026-03-20,ATM,45,Hold to Expiry,6.33,7.22,-15.01,5,3,2,60.0,301.87,1,221.0,3187.8,3389.67
T,1Y,2025-05-02,2026-03-20,ATM,45,Roll @50% Profit,12.45,14.25,-4.05,9,9,0,77.8,866.74,0,0.0,3187.8,3584.77
T,1Y,2025-05-02,2026-03-20,ATM,45,Roll @75% Profit,1.75,1.99,-11.76,6,6,0,83.3,549.43,0,0.0,3187.8,3243.61
T,1Y,2025-05-02,2026-03-20,ATM,45,Roll @7d Before,18.09,20.77,-9.69,13,13,0,84.6,1344.17,0,0.0,3187.8,3764.36
T,1Y,2025-05-02,2026-03-20,ATM,60,Hold to Expiry,6.13,6.99,-13.56,4,1,3,75.0,395.47,1,221.0,3187.8,3383.27
T,1Y,2025-05-02,2026-03-20,ATM,60,Roll @50% Profit,2.32,2.64,-9.35,7,7,0,71.4,767.1,0,0.0,3187.8,3261.9
T,1Y,2025-05-02,2026-03-20,ATM,60,Roll @75% Profit,5.33,6.08,-5.46,5,5,0,60.0,529.35,0,0.0,3187.8,3357.8
T,1Y,2025-05-02,2026-03-20,ATM,60,Roll @7d Before,27.74,32.04,-4.09,12,12,0,91.7,1498.09,0,0.0,3187.8,4072.21
T,1Y,2025-05-02,2026-03-20,3% OTM,30,Hold to Expiry,8.38,9.56,-13.79,8,4,4,87.5,236.06,0,0.0,3187.8,3454.86
T,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @50% Profit,1.27,1.44,-6.72,11,11,0,72.7,409.41,0,0.0,3187.8,3228.31
T,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @75% Profit,3.14,3.57,-4.14,9,9,0,77.8,327.86,0,0.0,3187.8,3287.75
T,1Y,2025-05-02,2026-03-20,3% OTM,30,Roll @7d Before,11.07,12.66,-6.72,17,17,0,82.4,811.58,0,0.0,3187.8,3540.75
T,1Y,2025-05-02,2026-03-20,3% OTM,45,Hold to Expiry,5.55,6.32,-13.56,5,3,2,80.0,176.9,1,221.0,3187.8,3364.7
T,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @50% Profit,8.08,9.22,-4.1,9,9,0,77.8,563.97,0,0.0,3187.8,3445.39
T,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @75% Profit,-0.42,-0.48,-10.24,6,6,0,83.3,378.98,0,0.0,3187.8,3174.42
T,1Y,2025-05-02,2026-03-20,3% OTM,45,Roll @7d Before,15.97,18.31,-6.55,13,13,0,84.6,875.57,0,0.0,3187.8,3696.76
T,1Y,2025-05-02,2026-03-20,3% OTM,60,Hold to Expiry,7.75,8.84,-7.86,4,2,2,75.0,246.91,1,221.0,3187.8,3434.71
T,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @50% Profit,2.24,2.55,-7.86,7,7,0,71.4,545.1,0,0.0,3187.8,3259.35
T,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @75% Profit,2.96,3.37,-3.86,5,5,0,60.0,348.96,0,0.0,3187.8,3282.12
T,1Y,2025-05-02,2026-03-20,3% OTM,60,Roll @7d Before,24.28,27.98,-4.1,12,12,0,91.7,1088.16,0,0.0,3187.8,3961.71
T,1Y,2025-05-02,2026-03-20,5% OTM,30,Hold to Expiry,4.9,5.58,-11.34,8,5,3,87.5,156.19,1,216.0,3187.8,3343.99
T,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @50% Profit,0.52,0.59,-5.56,11,11,0,72.7,300.59,0,0.0,3187.8,3204.5
T,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @75% Profit,3.53,4.01,-2.4,9,9,0,77.8,241.31,0,0.0,3187.8,3300.22
T,1Y,2025-05-02,2026-03-20,5% OTM,30,Roll @7d Before,6.21,7.08,-5.56,17,17,0,82.4,539.07,0,0.0,3187.8,3385.72
T,1Y,2025-05-02,2026-03-20,5% OTM,45,Hold to Expiry,4.43,5.04,-13.71,5,3,2,80.0,141.11,1,221.0,3187.8,3328.91
T,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @50% Profit,6.55,7.46,-2.16,9,9,0,88.9,332.51,0,0.0,3187.8,3396.5
T,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @75% Profit,-1.85,-2.1,-8.0,6,6,0,83.3,216.77,0,0.0,3187.8,3128.77
T,1Y,2025-05-02,2026-03-20,5% OTM,45,Roll @7d Before,12.78,14.63,-3.52,13,13,0,92.3,580.65,0,0.0,3187.8,3595.16
T,1Y,2025-05-02,2026-03-20,5% OTM,60,Hold to Expiry,6.15,7.0,-10.12,4,2,2,100.0,195.9,1,221.0,3187.8,3383.7
T,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @50% Profit,3.3,3.75,-4.52,7,7,0,71.4,341.09,0,0.0,3187.8,3292.92
T,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @75% Profit,4.44,5.06,-0.27,5,5,0,80.0,214.52,0,0.0,3187.8,3329.47
T,1Y,2025-05-02,2026-03-20,5% OTM,60,Roll @7d Before,18.68,21.46,-2.14,12,12,0,91.7,729.12,0,0.0,3187.8,3783.39
T,1Y,2025-05-02,2026-03-20,10% OTM,30,Hold to Expiry,9.41,10.74,-8.68,8,4,4,87.5,68.87,0,0.0,3187.8,3487.67
T,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @50% Profit,0.54,0.61,-1.2,11,11,0,81.8,66.08,0,0.0,3187.8,3204.89
T,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @75% Profit,2.07,2.36,0.0,9,9,0,66.7,74.13,0,0.0,3187.8,3253.93
T,1Y,2025-05-02,2026-03-20,10% OTM,30,Roll @7d Before,3.26,3.7,-1.2,17,17,0,88.2,161.13,0,0.0,3187.8,3291.6
T,1Y,2025-05-02,2026-03-20,10% OTM,45,Hold to Expiry,1.74,1.98,-8.71,5,3,2,80.0,55.56,1,221.0,3187.8,3243.36
T,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @50% Profit,3.57,4.06,-0.9,9,9,0,88.9,157.19,0,0.0,3187.8,3301.67
T,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @75% Profit,-2.24,-2.54,-5.24,6,6,0,83.3,104.29,0,0.0,3187.8,3116.26
T,1Y,2025-05-02,2026-03-20,10% OTM,45,Roll @7d Before,6.09,6.94,-1.43,13,13,0,92.3,253.56,0,0.0,3187.8,3381.86
T,1Y,2025-05-02,2026-03-20,10% OTM,60,Hold to Expiry,2.52,2.86,0.0,4,4,0,100.0,80.3,0,0.0,3187.8,3268.1
T,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @50% Profit,2.26,2.57,-2.44,7,7,0,85.7,176.86,0,0.0,3187.8,3259.76
T,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @75% Profit,2.99,3.4,0.0,5,5,0,100.0,101.11,0,0.0,3187.8,3283.21
T,1Y,2025-05-02,2026-03-20,10% OTM,60,Roll @7d Before,11.4,13.04,-0.36,12,12,0,91.7,400.29,0,0.0,3187.8,3551.22
T,3Y,2023-04-28,2026-03-20,ATM,30,Hold to Expiry,24.71,7.97,-15.65,24,12,12,87.5,1256.61,6,242.0,3187.8,3975.41
T,3Y,2023-04-28,2026-03-20,ATM,30,Roll @50% Profit,20.64,6.73,-6.8,33,33,0,75.8,1975.42,0,0.0,3187.8,3845.67
T,3Y,2023-04-28,2026-03-20,ATM,30,Roll @75% Profit,22.12,7.18,-5.61,26,26,0,84.6,1500.94,0,0.0,3187.8,3892.78
T,3Y,2023-04-28,2026-03-20,ATM,30,Roll @7d Before,30.39,9.65,-6.8,39,39,0,79.5,2557.86,0,0.0,3187.8,4156.58
T,3Y,2023-04-28,2026-03-20,ATM,45,Hold to Expiry,22.12,7.18,-16.11,16,9,7,81.2,905.2,4,250.0,3187.8,3893.0
T,3Y,2023-04-28,2026-03-20,ATM,45,Roll @50% Profit,15.96,5.28,-6.26,23,23,0,78.3,1544.63,0,0.0,3187.8,3696.66
T,3Y,2023-04-28,2026-03-20,ATM,45,Roll @75% Profit,13.79,4.59,-9.55,18,18,0,77.8,1250.66,0,0.0,3187.8,3627.51
T,3Y,2023-04-28,2026-03-20,ATM,45,Roll @7d Before,34.85,10.94,-4.49,26,26,0,84.6,2036.53,0,0.0,3187.8,4298.73
T,3Y,2023-04-28,2026-03-20,ATM,60,Hold to Expiry,20.39,6.65,-7.16,12,7,5,83.3,850.08,3,241.0,3187.8,3837.88
T,3Y,2023-04-28,2026-03-20,ATM,60,Roll @50% Profit,21.93,7.13,-7.45,18,18,0,83.3,1560.8,0,0.0,3187.8,3887.04
T,3Y,2023-04-28,2026-03-20,ATM,60,Roll @75% Profit,16.81,5.54,-4.3,14,14,0,78.6,1087.31,0,0.0,3187.8,3723.66
T,3Y,2023-04-28,2026-03-20,ATM,60,Roll @7d Before,32.35,10.22,-7.51,21,21,0,90.5,2050.3,0,0.0,3187.8,4219.17
T,3Y,2023-04-28,2026-03-20,3% OTM,30,Hold to Expiry,18.99,6.22,-17.76,24,16,8,91.7,705.28,3,330.0,3187.8,3793.08
T,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @50% Profit,15.3,5.07,-5.12,33,33,0,87.9,1096.43,0,0.0,3187.8,3675.59
T,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @75% Profit,13.7,4.56,-4.34,26,26,0,88.5,900.61,0,0.0,3187.8,3624.38
T,3Y,2023-04-28,2026-03-20,3% OTM,30,Roll @7d Before,24.28,7.84,-5.12,39,39,0,87.2,1498.6,0,0.0,3187.8,3961.76
T,3Y,2023-04-28,2026-03-20,3% OTM,45,Hold to Expiry,17.23,5.67,-12.56,16,11,5,87.5,649.27,2,362.0,3187.8,3737.07
T,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @50% Profit,15.27,5.06,-4.46,23,23,0,82.6,1137.15,0,0.0,3187.8,3674.55
T,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @75% Profit,7.38,2.5,-7.02,18,18,0,83.3,726.3,0,0.0,3187.8,3423.22
T,3Y,2023-04-28,2026-03-20,3% OTM,45,Roll @7d Before,25.69,8.26,-4.0,26,26,0,84.6,1464.48,0,0.0,3187.8,4006.87
T,3Y,2023-04-28,2026-03-20,3% OTM,60,Hold to Expiry,15.7,5.19,-8.52,12,8,4,83.3,700.38,3,241.0,3187.8,3688.18
T,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @50% Profit,14.96,4.96,-6.15,18,18,0,83.3,1006.42,0,0.0,3187.8,3664.71
T,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @75% Profit,10.7,3.59,-4.48,14,14,0,78.6,873.38,0,0.0,3187.8,3528.76
T,3Y,2023-04-28,2026-03-20,3% OTM,60,Roll @7d Before,24.73,7.97,-6.85,21,21,0,90.5,1432.37,0,0.0,3187.8,3976.02
T,3Y,2023-04-28,2026-03-20,5% OTM,30,Hold to Expiry,17.79,5.85,-9.26,24,17,7,91.7,567.0,2,356.0,3187.8,3754.8
T,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @50% Profit,10.19,3.43,-3.21,33,33,0,87.9,726.28,0,0.0,3187.8,3512.64
T,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @75% Profit,13.33,4.44,-1.51,26,26,0,92.3,547.92,0,0.0,3187.8,3612.66
T,3Y,2023-04-28,2026-03-20,5% OTM,30,Roll @7d Before,15.05,4.99,-3.21,39,39,0,87.2,964.77,0,0.0,3187.8,3667.6
T,3Y,2023-04-28,2026-03-20,5% OTM,45,Hold to Expiry,17.54,5.77,-10.48,16,11,5,93.8,459.0,2,362.0,3187.8,3746.8
T,3Y,2023-04-28,2026-03-20,5% OTM,45,Roll @50% Profit,11.0,3.69,-3.58,23,23,0,87.0,801.69,0,0.0,3187.8,3538.37
T,3Y,2023-04-28,2026-03-20,5% OTM,45,Roll @75% Profit,8.12,2.75,-5.08,18,18,0,88.9,552.8,0,0.0,3187.8,3446.75
T,3Y,2023-04-28,2026-03-20,5% OTM,45,Roll @7d Before,20.37,6.65,-2.22,26,26,0,84.6,969.96,0,0.0,3187.8,3837.03
T,3Y,2023-04-28,2026-03-20,5% OTM,60,Hold to Expiry,15.21,5.04,-6.96,12,10,2,83.3,484.91,2,362.0,3187.8,3672.71
T,3Y,2023-04-28,2026-03-20,5% OTM,60,Roll @50% Profit,10.29,3.46,-6.35,18,18,0,88.9,721.24,0,0.0,3187.8,3515.9
T,3Y,2023-04-28,2026-03-20,5% OTM,60,Roll @75% Profit,9.95,3.35,-1.7,14,14,0,78.6,552.96,0,0.0,3187.8,3505.0
T,3Y,2023-04-28,2026-03-20,5% OTM,60,Roll @7d Before,15.23,5.05,-6.36,21,21,0,90.5,972.43,0,0.0,3187.8,3673.44
T,3Y,2023-04-28,2026-03-20,10% OTM,30,Hold to Expiry,8.59,2.9,-8.45,24,17,7,91.7,173.86,2,356.0,3187.8,3461.66
T,3Y,2023-04-28,2026-03-20,10% OTM,30,Roll @50% Profit,3.02,1.04,-1.29,33,33,0,66.7,244.34,0,0.0,3187.8,3284.05
T,3Y,2023-04-28,2026-03-20,10% OTM,30,Roll @75% Profit,4.66,1.59,-0.03,26,26,0,73.1,203.61,0,0.0,3187.8,3336.27
T,3Y,2023-04-28,2026-03-20,10% OTM,30,Roll @7d Before,5.35,1.83,-1.29,39,39,0,71.8,339.39,0,0.0,3187.8,3358.4
T,3Y,2023-04-28,2026-03-20,10% OTM,45,Hold to Expiry,16.75,5.52,-8.46,16,11,5,93.8,234.03,2,362.0,3187.8,3721.83
T,3Y,2023-04-28,2026-03-20,10% OTM,45,Roll @50% Profit,5.19,1.77,-1.89,23,23,0,87.0,323.83,0,0.0,3187.8,3353.29
T,3Y,2023-04-28,2026-03-20,10% OTM,45,Roll @75% Profit,4.39,1.5,-0.03,18,18,0,94.4,200.11,0,0.0,3187.8,3327.69
T,3Y,2023-04-28,2026-03-20,10% OTM,45,Roll @7d Before,9.32,3.14,-1.18,26,26,0,92.3,418.74,0,0.0,3187.8,3484.88
T,3Y,2023-04-28,2026-03-20,10% OTM,60,Hold to Expiry,11.31,3.79,-3.79,12,10,2,91.7,260.6,1,182.0,3187.8,3548.4
T,3Y,2023-04-28,2026-03-20,10% OTM,60,Roll @50% Profit,5.86,2.0,-2.46,18,18,0,88.9,332.75,0,0.0,3187.8,3374.75
T,3Y,2023-04-28,2026-03-20,10% OTM,60,Roll @75% Profit,5.67,1.93,-1.7,14,14,0,92.9,311.89,0,0.0,3187.8,3368.62
T,3Y,2023-04-28,2026-03-20,10% OTM,60,Roll @7d Before,7.46,2.53,-5.04,21,21,0,85.7,537.29,0,0.0,3187.8,3425.66
T,5Y,2021-04-28,2026-03-20,ATM,30,Hold to Expiry,30.45,5.6,-14.04,40,9,31,92.5,1170.82,4,376.0,3187.8,4158.62
T,5Y,2021-04-28,2026-03-20,ATM,30,Roll @50% Profit,9.16,1.81,-19.19,55,55,0,67.3,2867.43,0,0.0,3187.8,3479.68
